213,309,483,237,865,200,232,175,234,447,319,946,441,190,927,1004,450,114,265,419,610,269,618,729,228,121,304,327,435,521,88,269,821,30,952,748,501,593,243,470,987,560,534,238,501,640,696,406,377,1012,39,907,936,816,102,269,344,697,140,739,110,670,507,798,733,926,913,343,716,203,32,762,513,492,927,625,633,881,825,591,188,246,908,30,502,172,1003,730,513,483,62,699,44,74,535,100,838,838,740,154
230,276,690,489,639,243,182,850,786,957,111,187,102,502,198,918,102,46,571,792,320,184,348,216,523,929,645,104,401,56,514,443,1022,832,498,916,141,400,950,940,731,634,352,959,128,749,662,854,408,768,856,331,566,1003,563,339,635,370,775,424,505,712,997,336,858,757,978,33,366,679,289,236,729,640,605,677,49,358,463,247,733,877,289,749,142,857,142,603,375,827,516,502,899,362,461,987,44,997,194,684
676,532,997,665,820,465,443,846,86,137,178,401,852,823,62,409,540,427,673,644,299,443,16,1008,172,109,382,203,502,348,975,943,54,756,276,433,562,966,428,1007,309,718,683,553,715,683,183,132,1024,176,34,575,904,686,196,378,472,1006,161,877,661,386,196,439,494,124,604,232,394,597,258,298,632,272,845,1007,748,353,599,111,929,901,838,267,609,24,436,321,166,184,434,97,613,483,713,717,654,35,71,328
544,671,418,840,736,992,545,333,109,626,798,434,94,273,158,288,451,540,469,897,531,967,654,981,247,693,297,688,712,70,261,230,684,865,353,800,692,7,617,397,938,2,474,435,472,789,331,804,483,37,181,740,485,157,350,622,197,757,249,940,276,784,194,295,94,591,700,560,436,660,664,696,652,968,214,727,242,123,622,461,470,678,789,359,678,427,863,853,263,629,597,554,891,272,326,123,963,662,491,655
558,663,557,739,536,1018,224,109,113,66,415,460,375,782,643,791,956,997,197,143,713,97,539,544,882,497,403,688,760,533,357,154,601,269,46,774,249,454,705,368,755,405,700,721,453,21,339,435,277,202,842,441,910,401,788,407,828,774,387,222,810,973,336,688,450,854,788,172,883,1014,527,906,603,159,205,417,767,846,809,327,547,93,115,140,695,508,195,507,152,57,872,575,952,714,597,835,901,1013,1,887
628,1014,541,492,821,234,511,923,589,866,757,601,253,683,86,641,677,748,913,1006,788,596,951,595,18,124,884,496,866,215,566,646,33,630,372,51,502,198,127,211,151,194,44,651,289,552,712,512,549,456,127,503,874,895,277,214,579,656,428,211,971,85,109,146,171,636,588,54,954,747,756,65,882,957,1009,880,805,526,182,409,138,32,962,309,303,341,479,664,26,863,573,875,357,457,56,182,679,339,921,121
1013,553,724,1024,295,425,476,783,838,103,183,369,59,535,344,180,214,927,692,480,935,107,764,754,576,189,612,308,138,218,917,74,249,56,453,14,919,202,96,315,468,105,1020,341,305,64,306,48,518,780,647,93,83,796,927,547,112,846,347,302,765,11,50,684,618,539,748,725,801,295,710,571,407,64,799,346,623,760,108,131,563,497,912,819,752,53,75,91,818,966,701,136,741,114,121,657,337,670,768,598
758,241,753,994,888,89,376,379,702,613,809,377,211,89,791,211,398,566,235,658,497,156,801,104,302,244,544,94,416,108,115,804,299,619,988,443,712,777,444,672,113,957,192,273,817,500,788,406,280,39,690,440,463,625,61,324,792,714,129,134,95,9,434,672,741,544,112,647,130,138,101,146,173,201,326,325,223,258,915,721,570,189,218,80,936,724,572,321,171,638,1012,175,264,407,76,701,413,1007,412,636
159,391,166,777,893,360,702,302,544,853,612,344,307,464,433,369,572,761,435,440,128,26,298,326,670,980,959,469,247,783,778,759,762,109,698,475,218,101,844,180,168,682,916,529,720,158,977,554,697,38,829,767,124,538,334,560,409,426,186,262,22,946,670,955,168,944,814,592,451,264,770,235,66,786,688,733,658,430,401,836,326,835,809,873,518,651,974,455,62,888,647,364,1021,230,669,620,397,146,26,432
189,744,380,862,752,585,182,981,272,947,230,383,90,656,185,47,741,356,677,394,643,23,933,820,764,833,393,633,590,543,282,255,463,234,824,1010,31,549,90,822,1013,69,962,19,701,803,547,907,921,641,142,224,187,43,110,632,963,363,421,1008,969,693,1013,786,345,679,251,303,697,541,422,618,769,598,566,598,525,85,737,1021,364,995,355,908,466,424,223,129,317,744,802,711,11,864,945,790,44,388,722,748
